sectionTitle,id,topicTitle
Project Icon Updates,0,Feedback on Q3 Strategy
Team Offsite Planning,1,Planning ACM Team Offsite
Slack to Teams Migration,2,Active Migrations to Teams
Slack to Teams Migration,5,Customer Migration List
Copilot Agents Update,3,Updates on Copilot Agents
AdHoc Conversations,4,Issue Updates
AdHoc Conversations,6,Outlook Meeting Issue
AdHoc Conversations,7,Incoming Webhooks Script
AdHoc Conversations,8,Game Question
AdHoc Conversations,9,Teams Phone Support
AdHoc Conversations,10,List Flows
AdHoc Conversations,11,Outlook Request
AdHoc Conversations,12,Excel Formula Help
AdHoc Conversations,13,Microsoft Teams Phone Explanation
AdHoc Conversations,14,Deprecation of Incoming Webhooks
